Entity,Code,Day,people_fully_vaccinated
Bulgaria,BGR,2021-01-18,1114
Bulgaria,BGR,2021-01-19,3168
Bulgaria,BGR,2021-01-20,4293
Bulgaria,BGR,2021-01-21,4532
Bulgaria,BGR,2021-01-22,4605
Bulgaria,BGR,2021-01-23,4610
Bulgaria,BGR,2021-01-24,4610
Bulgaria,BGR,2021-01-25,4669
Bulgaria,BGR,2021-01-26,5455
Bulgaria,BGR,2021-01-27,7672
Bulgaria,BGR,2021-01-28,10883
Bulgaria,BGR,2021-01-29,12949
Bulgaria,BGR,2021-01-30,13063
Bulgaria,BGR,2021-01-31,13084
Bulgaria,BGR,2021-02-01,13656
Bulgaria,BGR,2021-02-02,15100
Bulgaria,BGR,2021-02-03,16433
Bulgaria,BGR,2021-02-04,17096
Bulgaria,BGR,2021-02-05,17392
Bulgaria,BGR,2021-02-06,17392
Bulgaria,BGR,2021-02-07,17392
Bulgaria,BGR,2021-02-08,17481
Bulgaria,BGR,2021-02-09,17946
Bulgaria,BGR,2021-02-10,18612
Bulgaria,BGR,2021-02-11,19688
Bulgaria,BGR,2021-02-12,20571
Bulgaria,BGR,2021-02-13,20674
Bulgaria,BGR,2021-02-14,20698
Bulgaria,BGR,2021-02-15,21323
Bulgaria,BGR,2021-02-16,22776
Bulgaria,BGR,2021-02-17,24107
Bulgaria,BGR,2021-02-18,25441
Bulgaria,BGR,2021-02-19,26750
Bulgaria,BGR,2021-02-20,26923
Bulgaria,BGR,2021-02-21,26973
Bulgaria,BGR,2021-02-22,27952
Bulgaria,BGR,2021-02-23,29677
Bulgaria,BGR,2021-02-24,32008
Bulgaria,BGR,2021-02-25,34719
Bulgaria,BGR,2021-02-26,37181
Bulgaria,BGR,2021-02-27,37367
Bulgaria,BGR,2021-02-28,37379
Bulgaria,BGR,2021-03-01,38775
Bulgaria,BGR,2021-03-02,41525
Bulgaria,BGR,2021-03-03,41873
Bulgaria,BGR,2021-03-04,46712
Bulgaria,BGR,2021-03-05,49938
Bulgaria,BGR,2021-03-06,50051
Bulgaria,BGR,2021-03-07,50056
Bulgaria,BGR,2021-03-08,50653
Bulgaria,BGR,2021-03-09,51644
Bulgaria,BGR,2021-03-10,52735
Bulgaria,BGR,2021-03-11,53859
Bulgaria,BGR,2021-03-12,57336
Bulgaria,BGR,2021-03-13,57767
Bulgaria,BGR,2021-03-14,58417
Bulgaria,BGR,2021-03-15,59994
Canada,CAN,2021-01-07,2173
Canada,CAN,2021-01-08,4053
Canada,CAN,2021-01-09,5880
Canada,CAN,2021-01-10,5884
Canada,CAN,2021-01-11,5884
Canada,CAN,2021-01-12,6046
Canada,CAN,2021-01-13,16320
Canada,CAN,2021-01-14,21138
Canada,CAN,2021-01-15,26541
Canada,CAN,2021-01-16,28780
Canada,CAN,2021-01-17,31161
Canada,CAN,2021-01-18,31910
Canada,CAN,2021-01-19,37189
Canada,CAN,2021-01-20,53228
Canada,CAN,2021-01-21,63364
Canada,CAN,2021-01-22,74137
Canada,CAN,2021-01-23,82757
Canada,CAN,2021-01-24,87881
Canada,CAN,2021-01-25,100281
Canada,CAN,2021-01-26,114453
Canada,CAN,2021-01-27,82196
Canada,CAN,2021-01-28,91944
Canada,CAN,2021-01-29,101175
Canada,CAN,2021-01-30,109501
Canada,CAN,2021-01-31,111890
Canada,CAN,2021-02-01,116317
Canada,CAN,2021-02-02,121087
Canada,CAN,2021-02-03,130133
Canada,CAN,2021-02-04,142437
Canada,CAN,2021-02-05,155503
Canada,CAN,2021-02-06,168987
Canada,CAN,2021-02-07,176584
Canada,CAN,2021-02-08,187434
Canada,CAN,2021-02-09,204059
Canada,CAN,2021-02-10,223991
Canada,CAN,2021-02-11,244100
Canada,CAN,2021-02-12,266826
Canada,CAN,2021-02-13,287470
Canada,CAN,2021-02-14,301732
Canada,CAN,2021-02-15,309982
Canada,CAN,2021-02-16,327770
Canada,CAN,2021-02-17,343423
Canada,CAN,2021-02-18,363132
Canada,CAN,2021-02-19,387694
Canada,CAN,2021-02-20,404466
Canada,CAN,2021-02-21,417478
Canada,CAN,2021-02-22,449546
Canada,CAN,2021-02-23,467772
Canada,CAN,2021-02-24,482047
Canada,CAN,2021-02-25,498860
Canada,CAN,2021-02-26,511975
Canada,CAN,2021-02-27,519782
Canada,CAN,2021-02-28,525025
Canada,CAN,2021-03-01,538239
Canada,CAN,2021-03-02,548204
Canada,CAN,2021-03-03,554427
Canada,CAN,2021-03-04,558882
Canada,CAN,2021-03-05,561971
Canada,CAN,2021-03-06,564217
Canada,CAN,2021-03-07,565719
Canada,CAN,2021-03-08,575602
Canada,CAN,2021-03-09,579032
Canada,CAN,2021-03-10,583483
Canada,CAN,2021-03-11,587651
Canada,CAN,2021-03-12,590674
Canada,CAN,2021-03-13,593331
Canada,CAN,2021-03-14,595333
Canada,CAN,2021-03-15,600918
Cayman Islands,CYM,2021-02-04,3197
Cayman Islands,CYM,2021-02-09,4770
Cayman Islands,CYM,2021-02-10,5174
Cayman Islands,CYM,2021-02-12,6371
Cayman Islands,CYM,2021-02-17,6942
Cayman Islands,CYM,2021-02-19,7008
Cayman Islands,CYM,2021-02-20,7638
Cayman Islands,CYM,2021-02-23,7693
Cayman Islands,CYM,2021-02-24,7758
Cayman Islands,CYM,2021-03-05,8878
Cayman Islands,CYM,2021-03-12,10116
Chile,CHL,2021-01-13,1029
Chile,CHL,2021-01-14,5825
Chile,CHL,2021-01-15,8297
Chile,CHL,2021-01-16,8364
Chile,CHL,2021-01-17,8364
Chile,CHL,2021-01-18,8364
Chile,CHL,2021-01-19,8366
Chile,CHL,2021-01-20,8366
Chile,CHL,2021-01-21,8366
Chile,CHL,2021-01-22,8366
Chile,CHL,2021-01-23,8366
Chile,CHL,2021-01-24,8366
Chile,CHL,2021-01-25,9766
Chile,CHL,2021-01-26,10361
Chile,CHL,2021-01-27,10395
Chile,CHL,2021-01-28,10395
Chile,CHL,2021-01-29,10400
Chile,CHL,2021-01-30,10400
Chile,CHL,2021-01-31,10400
Chile,CHL,2021-02-01,10400
Chile,CHL,2021-02-02,10406
Chile,CHL,2021-02-03,10406
Chile,CHL,2021-02-04,12514
Chile,CHL,2021-02-05,13184
Chile,CHL,2021-02-06,13189
Chile,CHL,2021-02-07,13189
Chile,CHL,2021-02-08,24956
Chile,CHL,2021-02-09,44307
Chile,CHL,2021-02-10,52635
Chile,CHL,2021-02-11,55501
Chile,CHL,2021-02-12,55708
Chile,CHL,2021-02-13,55742
Chile,CHL,2021-02-14,55742
Chile,CHL,2021-02-15,55742
Chile,CHL,2021-02-16,55752
Chile,CHL,2021-02-17,55752
Chile,CHL,2021-02-18,55752
Chile,CHL,2021-02-19,55752
Chile,CHL,2021-02-20,55752
Chile,CHL,2021-02-21,55752
Chile,CHL,2021-02-22,55773
Chile,CHL,2021-02-23,55813
Chile,CHL,2021-02-24,55985
Chile,CHL,2021-02-25,56129
Chile,CHL,2021-02-26,56246
Chile,CHL,2021-02-27,56250
Chile,CHL,2021-02-28,56250
Chile,CHL,2021-03-01,56650
Chile,CHL,2021-03-02,69041
Chile,CHL,2021-03-03,222810
Chile,CHL,2021-03-04,388264
Chile,CHL,2021-03-05,549197
Chile,CHL,2021-03-06,573357
Chile,CHL,2021-03-07,580201
Chile,CHL,2021-03-08,793662
Chile,CHL,2021-03-09,1030278
Chile,CHL,2021-03-10,1293460
Chile,CHL,2021-03-11,1536789
Chile,CHL,2021-03-12,1757766
Chile,CHL,2021-03-13,1783521
Chile,CHL,2021-03-14,1787291
Chile,CHL,2021-03-15,2040279
Colombia,COL,2021-03-11,9148
Colombia,COL,2021-03-12,23449
Colombia,COL,2021-03-13,33242
Costa Rica,CRI,2021-01-15,55
Costa Rica,CRI,2021-01-18,132
Costa Rica,CRI,2021-01-25,2421
Costa Rica,CRI,2021-02-01,11838
Costa Rica,CRI,2021-02-08,28363
Costa Rica,CRI,2021-02-15,42553
Costa Rica,CRI,2021-02-22,44021
Costa Rica,CRI,2021-03-01,46117
Costa Rica,CRI,2021-03-08,52745
Costa Rica,CRI,2021-03-12,53898
Costa Rica,CRI,2021-03-15,57994
Croatia,HRV,2021-01-25,11907
Croatia,HRV,2021-02-01,25099
Croatia,HRV,2021-02-03,28865
Croatia,HRV,2021-02-04,35912
Croatia,HRV,2021-02-09,41966
Croatia,HRV,2021-02-11,47969
Croatia,HRV,2021-02-15,52778
Croatia,HRV,2021-02-18,55053
Croatia,HRV,2021-02-22,57835
Croatia,HRV,2021-02-24,58305
Croatia,HRV,2021-02-25,58511
Croatia,HRV,2021-03-01,59983
Croatia,HRV,2021-03-04,60000
Croatia,HRV,2021-03-08,63056
Croatia,HRV,2021-03-12,67533
Cyprus,CYP,2021-01-23,2057
Cyprus,CYP,2021-01-30,5551
Cyprus,CYP,2021-02-06,10024
Cyprus,CYP,2021-02-13,14837
Cyprus,CYP,2021-02-20,19221
Cyprus,CYP,2021-02-23,20323
Cyprus,CYP,2021-02-26,22559
Cyprus,CYP,2021-03-07,28741
Czechia,CZE,2021-01-17,634
Czechia,CZE,2021-01-18,2433
Czechia,CZE,2021-01-19,5132
Czechia,CZE,2021-01-20,7754
Czechia,CZE,2021-01-21,9477
Czechia,CZE,2021-01-22,10512
Czechia,CZE,2021-01-23,11376
Czechia,CZE,2021-01-24,12237
Czechia,CZE,2021-01-25,15176
Czechia,CZE,2021-01-26,19133
Czechia,CZE,2021-01-27,23618
Czechia,CZE,2021-01-28,29697
Czechia,CZE,2021-01-29,37470
Czechia,CZE,2021-01-30,38551
Czechia,CZE,2021-01-31,39688
Czechia,CZE,2021-02-01,47531
Czechia,CZE,2021-02-02,57673
Czechia,CZE,2021-02-03,68611
Czechia,CZE,2021-02-04,81496
Czechia,CZE,2021-02-05,92070
Czechia,CZE,2021-02-06,94388
Czechia,CZE,2021-02-07,96849
Czechia,CZE,2021-02-08,108157
Czechia,CZE,2021-02-09,119980
Czechia,CZE,2021-02-10,133047
Czechia,CZE,2021-02-11,148983
Czechia,CZE,2021-02-12,163543
Czechia,CZE,2021-02-13,166492
Czechia,CZE,2021-02-14,167857
Czechia,CZE,2021-02-15,177134
Czechia,CZE,2021-02-16,185995
Czechia,CZE,2021-02-17,194170
Czechia,CZE,2021-02-18,202052
Czechia,CZE,2021-02-19,209244
Czechia,CZE,2021-02-20,210406
Czechia,CZE,2021-02-21,211409
Czechia,CZE,2021-02-22,217370
Czechia,CZE,2021-02-23,224245
Czechia,CZE,2021-02-24,230186
Czechia,CZE,2021-02-25,235674
Czechia,CZE,2021-02-26,240902
Czechia,CZE,2021-02-27,241446
Czechia,CZE,2021-02-28,241984
Czechia,CZE,2021-03-01,245287
Czechia,CZE,2021-03-02,248770
Czechia,CZE,2021-03-03,253157
Czechia,CZE,2021-03-04,257701
Czechia,CZE,2021-03-05,262967
Czechia,CZE,2021-03-06,263792
Czechia,CZE,2021-03-07,264611
Czechia,CZE,2021-03-08,269285
Czechia,CZE,2021-03-09,275511
Czechia,CZE,2021-03-10,282332
Czechia,CZE,2021-03-11,290328
Czechia,CZE,2021-03-12,298240
Czechia,CZE,2021-03-13,299497
Czechia,CZE,2021-03-14,300481
Czechia,CZE,2021-03-15,308341
Denmark,DNK,2021-01-15,5
Denmark,DNK,2021-01-16,12
Denmark,DNK,2021-01-17,723
Denmark,DNK,2021-01-18,2849
Denmark,DNK,2021-01-19,4934
Denmark,DNK,2021-01-20,6817
Denmark,DNK,2021-01-21,9167
Denmark,DNK,2021-01-22,14811
Denmark,DNK,2021-01-23,21970
Denmark,DNK,2021-01-24,28498
Denmark,DNK,2021-01-25,30945
Denmark,DNK,2021-01-26,32688
Denmark,DNK,2021-01-27,37048
Denmark,DNK,2021-01-28,45159
Denmark,DNK,2021-01-29,63460
Denmark,DNK,2021-01-30,76416
Denmark,DNK,2021-01-31,88693
Denmark,DNK,2021-02-01,96562
Denmark,DNK,2021-02-02,99585
Denmark,DNK,2021-02-03,105766
Denmark,DNK,2021-02-04,116684
Denmark,DNK,2021-02-05,130149
Denmark,DNK,2021-02-06,136907
Denmark,DNK,2021-02-07,140545
Denmark,DNK,2021-02-08,147595
Denmark,DNK,2021-02-09,152507
Denmark,DNK,2021-02-10,156424
Denmark,DNK,2021-02-11,158875
Denmark,DNK,2021-02-12,166482
Denmark,DNK,2021-02-13,167457
Denmark,DNK,2021-02-14,168088
Denmark,DNK,2021-02-15,171222
Denmark,DNK,2021-02-16,172549
Denmark,DNK,2021-02-17,172981
Denmark,DNK,2021-02-18,173283
Denmark,DNK,2021-02-19,174249
Denmark,DNK,2021-02-20,174826
Denmark,DNK,2021-02-21,175175
Denmark,DNK,2021-02-22,176257
Denmark,DNK,2021-02-23,178209
Denmark,DNK,2021-02-24,180179
Denmark,DNK,2021-02-25,180813
Denmark,DNK,2021-02-26,181806
Denmark,DNK,2021-02-27,183289
Denmark,DNK,2021-02-28,184729
Denmark,DNK,2021-03-01,185783
Denmark,DNK,2021-03-02,187081
Denmark,DNK,2021-03-03,188103
Denmark,DNK,2021-03-04,189917
Denmark,DNK,2021-03-05,195575
Denmark,DNK,2021-03-06,199584
Denmark,DNK,2021-03-07,203940
Denmark,DNK,2021-03-08,210387
Denmark,DNK,2021-03-09,217626
Denmark,DNK,2021-03-10,224911
Denmark,DNK,2021-03-11,232839
Denmark,DNK,2021-03-12,243389
Denmark,DNK,2021-03-13,249362
Denmark,DNK,2021-03-14,258786
Ecuador,ECU,2021-02-17,1962
Ecuador,ECU,2021-02-24,3708
Ecuador,ECU,2021-03-01,6228
Ecuador,ECU,2021-03-04,6228
Ecuador,ECU,2021-03-05,6228
Ecuador,ECU,2021-03-08,6228
Ecuador,ECU,2021-03-09,6228
Ecuador,ECU,2021-03-11,6228
Ecuador,ECU,2021-03-12,6228
Ecuador,ECU,2021-03-13,20137
England,,2021-01-03,20660
England,,2021-01-10,374613
England,,2021-01-11,393925
England,,2021-01-12,407294
England,,2021-01-13,415656
England,,2021-01-14,420510
England,,2021-01-15,424327
England,,2021-01-16,426102
England,,2021-01-17,427386
England,,2021-01-18,431136
England,,2021-01-19,434125
England,,2021-01-20,436848
England,,2021-01-21,439182
England,,2021-01-22,440300
England,,2021-01-23,441074
England,,2021-01-24,441684
England,,2021-01-25,443010
England,,2021-01-26,444011
England,,2021-01-27,445101
England,,2021-01-28,446372
England,,2021-01-29,447898
England,,2021-01-30,458150
England,,2021-01-31,460907
England,,2021-02-01,462503
England,,2021-02-02,463889
England,,2021-02-03,466171
England,,2021-02-04,468782
England,,2021-02-05,470723
England,,2021-02-06,471324
England,,2021-02-07,471636
England,,2021-02-08,473055
England,,2021-02-09,475228
England,,2021-02-10,479320
England,,2021-02-11,483966
England,,2021-02-12,487699
England,,2021-02-13,489885
England,,2021-02-14,490722
England,,2021-02-15,492576
England,,2021-02-16,495704
England,,2021-02-17,500201
England,,2021-02-18,504762
England,,2021-02-19,508657
England,,2021-02-20,511089
England,,2021-02-21,513435
England,,2021-02-22,518779
England,,2021-02-23,528360
England,,2021-02-24,542569
England,,2021-02-25,558737
England,,2021-02-26,574963
England,,2021-02-27,590547
England,,2021-02-28,599935
England,,2021-03-01,612567
England,,2021-03-02,640219
England,,2021-03-03,684220
England,,2021-03-04,729265
England,,2021-03-05,766500
England,,2021-03-06,788188
England,,2021-03-07,797321
England,,2021-03-08,821121
England,,2021-03-09,868272
England,,2021-03-10,939232
England,,2021-03-11,1008912
England,,2021-03-12,1076426
England,,2021-03-13,1115066
England,,2021-03-14,1129444
Estonia,EST,2021-01-28,6214
Estonia,EST,2021-01-29,7607
Estonia,EST,2021-01-30,9597
Estonia,EST,2021-01-31,10155
Estonia,EST,2021-02-01,10408
Estonia,EST,2021-02-02,11310
Estonia,EST,2021-02-03,12842
Estonia,EST,2021-02-04,14330
Estonia,EST,2021-02-05,15871
Estonia,EST,2021-02-06,17376
Estonia,EST,2021-02-07,17519
Estonia,EST,2021-02-08,17564
Estonia,EST,2021-02-10,19114
Estonia,EST,2021-02-11,20026
Estonia,EST,2021-02-12,21312
Estonia,EST,2021-02-13,22126
Estonia,EST,2021-02-14,22284
Estonia,EST,2021-02-15,22343
Estonia,EST,2021-02-16,22573
Estonia,EST,2021-02-17,23149
Estonia,EST,2021-02-18,23812
Estonia,EST,2021-02-19,24827
Estonia,EST,2021-02-20,25831
Estonia,EST,2021-02-21,26053
Estonia,EST,2021-02-22,26375
Estonia,EST,2021-02-23,27277
Estonia,EST,2021-02-24,28218
Estonia,EST,2021-02-25,28351
Estonia,EST,2021-02-27,33503
Estonia,EST,2021-03-01,34050
Estonia,EST,2021-03-02,35067
Estonia,EST,2021-03-04,39762
Estonia,EST,2021-03-05,42234
Estonia,EST,2021-03-07,43942
Estonia,EST,2021-03-09,44235
Estonia,EST,2021-03-10,45310
Estonia,EST,2021-03-11,47795
Estonia,EST,2021-03-13,52571
Estonia,EST,2021-03-14,52649
Estonia,EST,2021-03-15,52664
European Union,,2021-01-14,114
European Union,,2021-01-15,547
European Union,,2021-01-16,953
European Union,,2021-01-17,22960
European Union,,2021-01-18,62158
European Union,,2021-01-19,131295
European Union,,2021-01-20,234778
European Union,,2021-01-21,358380
European Union,,2021-01-22,442579
European Union,,2021-01-23,538705
European Union,,2021-01-24,638963
European Union,,2021-01-25,852362
European Union,,2021-01-26,1120392
European Union,,2021-01-27,1367127
European Union,,2021-01-28,1687381
European Union,,2021-01-29,1969417
European Union,,2021-01-30,2198185
European Union,,2021-01-31,2500791
European Union,,2021-02-01,2837366
European Union,,2021-02-02,3242400
European Union,,2021-02-03,3709611
European Union,,2021-02-04,4218326
European Union,,2021-02-05,4618268
European Union,,2021-02-06,4825639
European Union,,2021-02-07,5140108
European Union,,2021-02-08,5410234
European Union,,2021-02-09,5780390
European Union,,2021-02-10,6144561
European Union,,2021-02-11,6648781
European Union,,2021-02-12,7024932
European Union,,2021-02-13,7219319
European Union,,2021-02-14,7530327
European Union,,2021-02-15,7801002
European Union,,2021-02-16,8107476
European Union,,2021-02-17,8483339
European Union,,2021-02-18,8891055
European Union,,2021-02-19,9206807
European Union,,2021-02-20,9361017
European Union,,2021-02-21,9610538
European Union,,2021-02-22,9817858
European Union,,2021-02-23,10040127
European Union,,2021-02-24,10355990
European Union,,2021-02-25,10608723
European Union,,2021-02-26,10950865
European Union,,2021-02-27,11061869
European Union,,2021-02-28,11311041
European Union,,2021-03-01,11489545
European Union,,2021-03-02,11708361
European Union,,2021-03-03,12045815
European Union,,2021-03-04,12423663
European Union,,2021-03-05,12701009
European Union,,2021-03-06,12900535
European Union,,2021-03-07,13109300
European Union,,2021-03-08,13350533
European Union,,2021-03-09,13634735
European Union,,2021-03-10,13945186
European Union,,2021-03-11,14425901
European Union,,2021-03-12,14772939
European Union,,2021-03-13,14961238
European Union,,2021-03-14,15071356
European Union,,2021-03-15,15244453
Faeroe Islands,FRO,2021-01-29,1
Faeroe Islands,FRO,2021-02-06,606
